model_name,question_number,model_answer,completion_tokens
meta-llama/llama-3.3-70b-instruct,46,4,2
meta-llama/llama-3.3-70b-instruct,48,4,1
meta-llama/llama-3.3-70b-instruct,53,2,1
meta-llama/llama-3.3-70b-instruct,54,2,2
meta-llama/llama-3.3-70b-instruct,55,1,2
meta-llama/llama-3.3-70b-instruct,59,4,1
meta-llama/llama-3.3-70b-instruct,60,1,2
meta-llama/llama-3.3-70b-instruct,79,2,1
meta-llama/llama-3.3-70b-instruct,85,1,1
meta-llama/llama-3.3-70b-instruct,86,3,1
meta-llama/llama-3.3-70b-instruct,91,1,1
meta-llama/llama-3.3-70b-instruct,95,1,1
meta-llama/llama-3.3-70b-instruct,97,4,1
meta-llama/llama-3.3-70b-instruct,102,3,1
meta-llama/llama-3.3-70b-instruct,105,4,1
meta-llama/llama-3.3-70b-instruct,108,3,2
meta-llama/llama-3.3-70b-instruct,110,3,1
meta-llama/llama-3.3-70b-instruct,113,2,1
meta-llama/llama-3.3-70b-instruct,134,4,1
meta-llama/llama-3.3-70b-instruct,137,3,2
meta-llama/llama-3.3-70b-instruct,142,1,2
meta-llama/llama-3.3-70b-instruct,151,2,1
meta-llama/llama-3.3-70b-instruct,153,1,2
meta-llama/llama-3.3-70b-instruct,155,2,1
meta-llama/llama-3.3-70b-instruct,163,3,2
meta-llama/llama-3.3-70b-instruct,164,4,1
meta-llama/llama-3.3-70b-instruct,169,4,2
meta-llama/llama-3.3-70b-instruct,171,1,2
meta-llama/llama-3.3-70b-instruct,182,1,2
meta-llama/llama-3.3-70b-instruct,186,3,2
meta-llama/llama-3.3-70b-instruct,195,1,1
meta-llama/llama-3.3-70b-instruct,203,2,1
meta-llama/llama-3.3-70b-instruct,208,2,1
meta-llama/llama-3.3-70b-instruct,224,4,2
google/gemini-2.5-pro-preview-03-25,6,1,554
google/gemini-2.5-pro-preview-03-25,12,4,860
google/gemini-2.5-pro-preview-03-25,14,2,881
google/gemini-2.5-pro-preview-03-25,21,4,1312
google/gemini-2.5-pro-preview-03-25,24,3,906
google/gemini-2.5-pro-preview-03-25,40,3,567
google/gemini-2.5-pro-preview-03-25,42,2,708
google/gemini-2.5-pro-preview-03-25,44,3,1
google/gemini-2.5-pro-preview-03-25,46,4,820
google/gemini-2.5-pro-preview-03-25,48,4,983
google/gemini-2.5-pro-preview-03-25,53,2,1075
google/gemini-2.5-pro-preview-03-25,54,4,698
google/gemini-2.5-pro-preview-03-25,55,1,980
google/gemini-2.5-pro-preview-03-25,59,4,915
google/gemini-2.5-pro-preview-03-25,60,1,592
google/gemini-2.5-pro-preview-03-25,79,1,754
google/gemini-2.5-pro-preview-03-25,85,1,920
google/gemini-2.5-pro-preview-03-25,86,4,535
google/gemini-2.5-pro-preview-03-25,91,3,1110
google/gemini-2.5-pro-preview-03-25,95,4,756
google/gemini-2.5-pro-preview-03-25,97,2,454
google/gemini-2.5-pro-preview-03-25,102,3,976
google/gemini-2.5-pro-preview-03-25,105,2,745
google/gemini-2.5-pro-preview-03-25,108,4,827
google/gemini-2.5-pro-preview-03-25,110,3,941
google/gemini-2.5-pro-preview-03-25,113,2,1012
google/gemini-2.5-pro-preview-03-25,134,4,877
google/gemini-2.5-pro-preview-03-25,137,4,948
google/gemini-2.5-pro-preview-03-25,142,2,656
google/gemini-2.5-pro-preview-03-25,151,3,747
google/gemini-2.5-pro-preview-03-25,153,1,981
google/gemini-2.5-pro-preview-03-25,155,4,904
google/gemini-2.5-pro-preview-03-25,163,3,931
google/gemini-2.5-pro-preview-03-25,164,1,1238
google/gemini-2.5-pro-preview-03-25,169,4,625
google/gemini-2.5-pro-preview-03-25,171,2,605
google/gemini-2.5-pro-preview-03-25,182,1,555
google/gemini-2.5-pro-preview-03-25,186,4,733
google/gemini-2.5-pro-preview-03-25,195,1,997
google/gemini-2.5-pro-preview-03-25,203,3,1042
google/gemini-2.5-pro-preview-03-25,208,4,835
google/gemini-2.5-pro-preview-03-25,224,4,806
deepseek/deepseek-chat-v3-0324,6,2,2
deepseek/deepseek-chat-v3-0324,12,2,2
deepseek/deepseek-chat-v3-0324,14,2,2
deepseek/deepseek-chat-v3-0324,21,2,1
deepseek/deepseek-chat-v3-0324,24,2,2
deepseek/deepseek-chat-v3-0324,40,2,2
deepseek/deepseek-chat-v3-0324,42,3,2
deepseek/deepseek-chat-v3-0324,44,3,1
deepseek/deepseek-chat-v3-0324,46,3,2
deepseek/deepseek-chat-v3-0324,48,2,1
deepseek/deepseek-chat-v3-0324,53,2,1
deepseek/deepseek-chat-v3-0324,54,2,2
deepseek/deepseek-chat-v3-0324,55,2,2
deepseek/deepseek-chat-v3-0324,59,3,2
deepseek/deepseek-chat-v3-0324,60,2,1
deepseek/deepseek-chat-v3-0324,79,2,2
deepseek/deepseek-chat-v3-0324,85,1,2
deepseek/deepseek-chat-v3-0324,86,2,2
deepseek/deepseek-chat-v3-0324,91,2,2
deepseek/deepseek-chat-v3-0324,95,1,1
deepseek/deepseek-chat-v3-0324,97,2,1
deepseek/deepseek-chat-v3-0324,102,3,2
deepseek/deepseek-chat-v3-0324,105,2,2
deepseek/deepseek-chat-v3-0324,108,4,1
deepseek/deepseek-chat-v3-0324,110,3,1
deepseek/deepseek-chat-v3-0324,113,2,1
deepseek/deepseek-chat-v3-0324,134,4,2
deepseek/deepseek-chat-v3-0324,137,2,1
deepseek/deepseek-chat-v3-0324,142,2,2
deepseek/deepseek-chat-v3-0324,151,2,1
deepseek/deepseek-chat-v3-0324,153,1,2
deepseek/deepseek-chat-v3-0324,155,2,2
deepseek/deepseek-chat-v3-0324,163,2,2
deepseek/deepseek-chat-v3-0324,164,4,1
deepseek/deepseek-chat-v3-0324,169,3,2
deepseek/deepseek-chat-v3-0324,171,2,2
deepseek/deepseek-chat-v3-0324,182,3,1
deepseek/deepseek-chat-v3-0324,186,3,2
deepseek/deepseek-chat-v3-0324,195,1,2
deepseek/deepseek-chat-v3-0324,203,2,2
deepseek/deepseek-chat-v3-0324,208,3,2
deepseek/deepseek-chat-v3-0324,224,1,1
anthropic/claude-3.5-sonnet,6,1,5
anthropic/claude-3.5-sonnet,12,4,10
anthropic/claude-3.5-sonnet,14,2,7
anthropic/claude-3.5-sonnet,21,4,5
anthropic/claude-3.5-sonnet,24,3,5
anthropic/claude-3.5-sonnet,40,3,7
anthropic/claude-3.5-sonnet,42,2,5
anthropic/claude-3.5-sonnet,44,3,5
anthropic/claude-3.5-sonnet,46,1,7
anthropic/claude-3.5-sonnet,48,2,7
anthropic/claude-3.5-sonnet,53,1,7
anthropic/claude-3.5-sonnet,54,4,10
anthropic/claude-3.5-sonnet,55,4,10
anthropic/claude-3.5-sonnet,59,4,10
anthropic/claude-3.5-sonnet,60,1,5
anthropic/claude-3.5-sonnet,79,1,5
anthropic/claude-3.5-sonnet,85,1,5
anthropic/claude-3.5-sonnet,86,4,5
anthropic/claude-3.5-sonnet,91,1,7
anthropic/claude-3.5-sonnet,95,4,10
anthropic/claude-3.5-sonnet,97,2,7
anthropic/claude-3.5-sonnet,102,3,5
anthropic/claude-3.5-sonnet,105,2,5
anthropic/claude-3.5-sonnet,108,4,10
anthropic/claude-3.5-sonnet,110,3,5
anthropic/claude-3.5-sonnet,113,2,5
anthropic/claude-3.5-sonnet,134,4,10
anthropic/claude-3.5-sonnet,137,4,5
anthropic/claude-3.5-sonnet,142,2,5
anthropic/claude-3.5-sonnet,151,3,7
anthropic/claude-3.5-sonnet,153,1,7
anthropic/claude-3.5-sonnet,155,4,10
anthropic/claude-3.5-sonnet,163,3,7
anthropic/claude-3.5-sonnet,164,1,7
anthropic/claude-3.5-sonnet,169,4,10
anthropic/claude-3.5-sonnet,171,2,7
anthropic/claude-3.5-sonnet,182,1,7
anthropic/claude-3.5-sonnet,186,4,5
anthropic/claude-3.5-sonnet,195,1,7
anthropic/claude-3.5-sonnet,203,3,5
anthropic/claude-3.5-sonnet,208,4,10
anthropic/claude-3.5-sonnet,224,3,5
deepseek/deepseek-r1,6,2,465
deepseek/deepseek-r1,12,4,567
deepseek/deepseek-r1,14,1,574
deepseek/deepseek-r1,21,3,1636
deepseek/deepseek-r1,24,2,608
deepseek/deepseek-r1,40,2,523
deepseek/deepseek-r1,42,2,654
deepseek/deepseek-r1,44,3,616
deepseek/deepseek-r1,46,3,606
deepseek/deepseek-r1,48,2,654
deepseek/deepseek-r1,53,2,796
deepseek/deepseek-r1,54,2,535
deepseek/deepseek-r1,55,1,714
deepseek/deepseek-r1,59,4,469
deepseek/deepseek-r1,60,1,520
deepseek/deepseek-r1,79,2,669
deepseek/deepseek-r1,85,2,519
deepseek/deepseek-r1,86,2,462
deepseek/deepseek-r1,91,1,522
deepseek/deepseek-r1,95,4,576
deepseek/deepseek-r1,97,2,812
deepseek/deepseek-r1,102,3,710
deepseek/deepseek-r1,105,2,800
deepseek/deepseek-r1,108,4,664
deepseek/deepseek-r1,110,3,560
deepseek/deepseek-r1,113,3,548
deepseek/deepseek-r1,134,4,602
deepseek/deepseek-r1,137,2,516
deepseek/deepseek-r1,142,2,510
deepseek/deepseek-r1,151,3,2032
deepseek/deepseek-r1,153,1,649
deepseek/deepseek-r1,155,4,586
deepseek/deepseek-r1,163,2,624
deepseek/deepseek-r1,164,4,1102
deepseek/deepseek-r1,169,4,528
deepseek/deepseek-r1,171,2,495
deepseek/deepseek-r1,182,1,605
deepseek/deepseek-r1,186,4,587
deepseek/deepseek-r1,195,1,536
deepseek/deepseek-r1,203,2,1916
deepseek/deepseek-r1,208,4,475
deepseek/deepseek-r1,224,4,554
google/gemma-3-27b-it,6,4,3
google/gemma-3-27b-it,12,4,4
google/gemma-3-27b-it,14,1,2
google/gemma-3-27b-it,21,3,2
google/gemma-3-27b-it,24,2,2
google/gemma-3-27b-it,40,2,1
google/gemma-3-27b-it,42,2,2
google/gemma-3-27b-it,44,3,3
google/gemma-3-27b-it,46,3,2
google/gemma-3-27b-it,48,2,2
google/gemma-3-27b-it,53,2,3
google/gemma-3-27b-it,54,4,2
google/gemma-3-27b-it,55,1,2
google/gemma-3-27b-it,59,4,1
google/gemma-3-27b-it,60,2,2
google/gemma-3-27b-it,79,2,2
google/gemma-3-27b-it,85,1,1
google/gemma-3-27b-it,86,2,2
google/gemma-3-27b-it,91,3,2
google/gemma-3-27b-it,95,3,2
google/gemma-3-27b-it,97,2,2
google/gemma-3-27b-it,102,3,2
google/gemma-3-27b-it,105,2,1
google/gemma-3-27b-it,108,3,2
google/gemma-3-27b-it,110,3,2
google/gemma-3-27b-it,113,1,2
google/gemma-3-27b-it,134,4,4
google/gemma-3-27b-it,137,3,2
google/gemma-3-27b-it,142,4,2
google/gemma-3-27b-it,151,3,2
google/gemma-3-27b-it,153,1,2
google/gemma-3-27b-it,155,2,2
google/gemma-3-27b-it,163,2,2
google/gemma-3-27b-it,164,2,2
google/gemma-3-27b-it,169,4,3
google/gemma-3-27b-it,171,2,2
google/gemma-3-27b-it,182,2,3
google/gemma-3-27b-it,186,3,2
google/gemma-3-27b-it,195,4,2
google/gemma-3-27b-it,203,2,2
google/gemma-3-27b-it,208,4,3
google/gemma-3-27b-it,224,4,2
google/gemma-3-12b-it,6,3,2
google/gemma-3-12b-it,12,2,2
google/gemma-3-12b-it,14,1,2
google/gemma-3-12b-it,21,2,2
google/gemma-3-12b-it,24,2,2
google/gemma-3-12b-it,40,2,2
google/gemma-3-12b-it,42,2,2
google/gemma-3-12b-it,44,3,2
google/gemma-3-12b-it,46,2,2
google/gemma-3-12b-it,48,2,2
google/gemma-3-12b-it,53,2,2
google/gemma-3-12b-it,54,2,2
google/gemma-3-12b-it,55,2,2
google/gemma-3-12b-it,59,4,2
google/gemma-3-12b-it,60,2,2
google/gemma-3-12b-it,79,2,2
google/gemma-3-12b-it,85,1,3
google/gemma-3-12b-it,86,2,2
google/gemma-3-12b-it,91,4,2
google/gemma-3-12b-it,95,3,2
google/gemma-3-12b-it,97,2,2
google/gemma-3-12b-it,102,3,2
google/gemma-3-12b-it,105,4,2
google/gemma-3-12b-it,108,3,2
google/gemma-3-12b-it,110,3,2
google/gemma-3-12b-it,113,2,2
google/gemma-3-12b-it,134,4,2
google/gemma-3-12b-it,137,2,2
google/gemma-3-12b-it,142,4,2
google/gemma-3-12b-it,151,2,2
google/gemma-3-12b-it,153,1,2
google/gemma-3-12b-it,155,2,2
google/gemma-3-12b-it,163,2,2
google/gemma-3-12b-it,164,4,2
google/gemma-3-12b-it,169,4,2
google/gemma-3-12b-it,171,2,2
google/gemma-3-12b-it,182,3,2
google/gemma-3-12b-it,186,3,2
google/gemma-3-12b-it,195,2,2
google/gemma-3-12b-it,203,2,2
google/gemma-3-12b-it,208,4,2
google/gemma-3-12b-it,224,2,2
qwen/qwen-2.5-72b-instruct,6,1,1
qwen/qwen-2.5-72b-instruct,12,2,1
qwen/qwen-2.5-72b-instruct,14,2,1
qwen/qwen-2.5-72b-instruct,21,3,1
qwen/qwen-2.5-72b-instruct,24,2,2
qwen/qwen-2.5-72b-instruct,40,2,2
qwen/qwen-2.5-72b-instruct,42,1,1
qwen/qwen-2.5-72b-instruct,44,3,2
qwen/qwen-2.5-72b-instruct,46,1,2
qwen/qwen-2.5-72b-instruct,48,2,1
qwen/qwen-2.5-72b-instruct,53,2,2
qwen/qwen-2.5-72b-instruct,54,2,2
qwen/qwen-2.5-72b-instruct,55,2,2
qwen/qwen-2.5-72b-instruct,59,1,1
qwen/qwen-2.5-72b-instruct,60,2,2
qwen/qwen-2.5-72b-instruct,79,2,2
qwen/qwen-2.5-72b-instruct,85,1,2
qwen/qwen-2.5-72b-instruct,86,1,2
qwen/qwen-2.5-72b-instruct,91,1,1
qwen/qwen-2.5-72b-instruct,95,1,1
qwen/qwen-2.5-72b-instruct,97,2,1
qwen/qwen-2.5-72b-instruct,102,3,1
qwen/qwen-2.5-72b-instruct,105,2,2
qwen/qwen-2.5-72b-instruct,108,3,2
qwen/qwen-2.5-72b-instruct,110,3,2
qwen/qwen-2.5-72b-instruct,113,1,2
qwen/qwen-2.5-72b-instruct,134,3,1
qwen/qwen-2.5-72b-instruct,137,2,2
qwen/qwen-2.5-72b-instruct,142,2,2
qwen/qwen-2.5-72b-instruct,151,2,1
qwen/qwen-2.5-72b-instruct,153,1,1
qwen/qwen-2.5-72b-instruct,155,2,1
qwen/qwen-2.5-72b-instruct,163,3,1
qwen/qwen-2.5-72b-instruct,164,2,1
qwen/qwen-2.5-72b-instruct,169,3,1
qwen/qwen-2.5-72b-instruct,171,1,1
qwen/qwen-2.5-72b-instruct,182,3,2
qwen/qwen-2.5-72b-instruct,186,3,1
qwen/qwen-2.5-72b-instruct,195,1,2
qwen/qwen-2.5-72b-instruct,203,2,2
qwen/qwen-2.5-72b-instruct,208,1,2
qwen/qwen-2.5-72b-instruct,224,4,2
