model_name,question_number,model_answer,completion_tokens
openai/gpt-4o,24,3,2
openai/gpt-4o,40,3,2
openai/gpt-4o,42,3,2
openai/gpt-4o,44,3,2
openai/gpt-4o,46,4,2
openai/gpt-4o,48,2,2
openai/gpt-4o,53,2,2
openai/gpt-4o,54,4,2
openai/gpt-4o,55,2,2
openai/gpt-4o,59,4,2
openai/gpt-4o,60,1,2
openai/gpt-4o,79,1,2
openai/gpt-4o,85,1,2
openai/gpt-4o,86,1,2
openai/gpt-4o,91,1,2
openai/gpt-4o,95,4,2
openai/gpt-4o,97,2,2
openai/gpt-4o,102,3,2
openai/gpt-4o,105,2,2
openai/gpt-4o,108,4,2
openai/gpt-4o,110,3,2
openai/gpt-4o,113,1,2
openai/gpt-4o,134,4,2
openai/gpt-4o,137,4,2
openai/gpt-4o,142,2,2
openai/gpt-4o,151,1,2
openai/gpt-4o,153,1,2
openai/gpt-4o,155,2,2
openai/gpt-4o,163,3,2
openai/gpt-4o,164,3,2
openai/gpt-4o,169,4,2
openai/gpt-4o,171,2,2
openai/gpt-4o,182,1,2
openai/gpt-4o,186,3,2
openai/gpt-4o,195,1,2
openai/gpt-4o,203,2,2
openai/gpt-4o,208,4,2
openai/gpt-4o,224,2,2
openai/o1-mini,21,4,460
openai/o1-mini,24,3,844
openai/o1-mini,40,2,844
openai/o1-mini,42,3,973
openai/o1-mini,44,4,973
openai/o1-mini,46,4,1037
openai/o1-mini,48,4,1037
openai/o1-mini,53,2,972
openai/o1-mini,54,3,716
openai/o1-mini,55,4,844
openai/o1-mini,59,3,588
openai/o1-mini,60,1,1036
openai/o1-mini,79,1,717
openai/o1-mini,85,1,798
openai/o1-mini,86,3,1228
openai/o1-mini,91,1,716
openai/o1-mini,95,1,780
openai/o1-mini,97,2,781
openai/o1-mini,102,3,780
openai/o1-mini,105,4,846
openai/o1-mini,108,4,1101
openai/o1-mini,110,4,589
openai/o1-mini,113,1,781
openai/o1-mini,134,4,781
openai/o1-mini,137,2,781
openai/o1-mini,142,2,525
openai/o1-mini,151,4,1356
openai/o1-mini,153,1,588
openai/o1-mini,155,2,972
openai/o1-mini,163,3,780
openai/o1-mini,164,3,1292
openai/o1-mini,169,4,652
openai/o1-mini,171,2,461
openai/o1-mini,182,3,1484
openai/o1-mini,186,4,333
openai/o1-mini,195,1,844
openai/o1-mini,203,2,652
openai/o1-mini,208,4,717
openai/o1-mini,224,4,716
meta-llama/llama-3.3-70b-instruct,21,4,2
meta-llama/llama-3.3-70b-instruct,24,3,2
meta-llama/llama-3.3-70b-instruct,40,1,2
meta-llama/llama-3.3-70b-instruct,42,4,1
meta-llama/llama-3.3-70b-instruct,44,3,2
meta-llama/llama-3.3-70b-instruct,46,4,2
meta-llama/llama-3.3-70b-instruct,48,4,1
meta-llama/llama-3.3-70b-instruct,53,2,2
meta-llama/llama-3.3-70b-instruct,54,4,1
meta-llama/llama-3.3-70b-instruct,55,1,2
meta-llama/llama-3.3-70b-instruct,59,4,1
meta-llama/llama-3.3-70b-instruct,60,3,1
meta-llama/llama-3.3-70b-instruct,79,2,2
meta-llama/llama-3.3-70b-instruct,85,1,2
meta-llama/llama-3.3-70b-instruct,86,4,2
meta-llama/llama-3.3-70b-instruct,91,1,2
meta-llama/llama-3.3-70b-instruct,95,4,2
meta-llama/llama-3.3-70b-instruct,97,4,1
meta-llama/llama-3.3-70b-instruct,102,3,2
meta-llama/llama-3.3-70b-instruct,105,2,1
meta-llama/llama-3.3-70b-instruct,108,4,1
meta-llama/llama-3.3-70b-instruct,110,3,2
meta-llama/llama-3.3-70b-instruct,113,2,1
meta-llama/llama-3.3-70b-instruct,134,4,1
meta-llama/llama-3.3-70b-instruct,137,3,2
meta-llama/llama-3.3-70b-instruct,142,1,2
meta-llama/llama-3.3-70b-instruct,151,1,1
meta-llama/llama-3.3-70b-instruct,153,1,1
meta-llama/llama-3.3-70b-instruct,155,4,1
meta-llama/llama-3.3-70b-instruct,163,2,1
meta-llama/llama-3.3-70b-instruct,164,2,1
meta-llama/llama-3.3-70b-instruct,169,4,2
meta-llama/llama-3.3-70b-instruct,171,2,2
meta-llama/llama-3.3-70b-instruct,182,1,2
meta-llama/llama-3.3-70b-instruct,186,4,1
meta-llama/llama-3.3-70b-instruct,195,1,1
meta-llama/llama-3.3-70b-instruct,203,2,1
meta-llama/llama-3.3-70b-instruct,208,4,1
meta-llama/llama-3.3-70b-instruct,224,4,1
google/gemini-2.5-pro-preview-03-25,21,2,563
google/gemini-2.5-pro-preview-03-25,24,3,690
google/gemini-2.5-pro-preview-03-25,40,3,662
google/gemini-2.5-pro-preview-03-25,42,2,706
google/gemini-2.5-pro-preview-03-25,44,3,936
google/gemini-2.5-pro-preview-03-25,46,4,731
google/gemini-2.5-pro-preview-03-25,48,4,767
google/gemini-2.5-pro-preview-03-25,53,2,694
google/gemini-2.5-pro-preview-03-25,54,4,498
google/gemini-2.5-pro-preview-03-25,55,4,1015
google/gemini-2.5-pro-preview-03-25,59,4,734
google/gemini-2.5-pro-preview-03-25,60,1,951
google/gemini-2.5-pro-preview-03-25,79,1,618
google/gemini-2.5-pro-preview-03-25,85,2,923
google/gemini-2.5-pro-preview-03-25,86,4,494
google/gemini-2.5-pro-preview-03-25,91,3,564
google/gemini-2.5-pro-preview-03-25,95,4,523
google/gemini-2.5-pro-preview-03-25,97,2,737
google/gemini-2.5-pro-preview-03-25,102,1,653
google/gemini-2.5-pro-preview-03-25,105,2,608
google/gemini-2.5-pro-preview-03-25,108,4,594
google/gemini-2.5-pro-preview-03-25,110,3,651
google/gemini-2.5-pro-preview-03-25,113,3,590
google/gemini-2.5-pro-preview-03-25,134,4,595
google/gemini-2.5-pro-preview-03-25,137,4,686
google/gemini-2.5-pro-preview-03-25,142,2,637
google/gemini-2.5-pro-preview-03-25,151,3,982
google/gemini-2.5-pro-preview-03-25,153,1,640
google/gemini-2.5-pro-preview-03-25,155,4,596
google/gemini-2.5-pro-preview-03-25,163,2,759
google/gemini-2.5-pro-preview-03-25,164,1,1127
google/gemini-2.5-pro-preview-03-25,169,4,930
google/gemini-2.5-pro-preview-03-25,171,2,485
google/gemini-2.5-pro-preview-03-25,182,1,679
google/gemini-2.5-pro-preview-03-25,186,4,682
google/gemini-2.5-pro-preview-03-25,195,1,792
google/gemini-2.5-pro-preview-03-25,203,2,842
google/gemini-2.5-pro-preview-03-25,208,4,750
google/gemini-2.5-pro-preview-03-25,224,4,574
deepseek/deepseek-chat-v3-0324,21,2,1
deepseek/deepseek-chat-v3-0324,24,2,1
deepseek/deepseek-chat-v3-0324,40,2,1
deepseek/deepseek-chat-v3-0324,42,2,1
deepseek/deepseek-chat-v3-0324,44,3,1
deepseek/deepseek-chat-v3-0324,46,3,1
deepseek/deepseek-chat-v3-0324,48,2,1
deepseek/deepseek-chat-v3-0324,53,2,1
deepseek/deepseek-chat-v3-0324,54,2,1
deepseek/deepseek-chat-v3-0324,55,2,1
deepseek/deepseek-chat-v3-0324,59,3,1
deepseek/deepseek-chat-v3-0324,60,2,1
deepseek/deepseek-chat-v3-0324,79,2,1
deepseek/deepseek-chat-v3-0324,85,1,1
deepseek/deepseek-chat-v3-0324,86,2,1
deepseek/deepseek-chat-v3-0324,91,2,1
deepseek/deepseek-chat-v3-0324,95,3,1
deepseek/deepseek-chat-v3-0324,97,2,1
deepseek/deepseek-chat-v3-0324,102,3,1
deepseek/deepseek-chat-v3-0324,105,2,1
deepseek/deepseek-chat-v3-0324,108,3,1
deepseek/deepseek-chat-v3-0324,110,3,1
deepseek/deepseek-chat-v3-0324,113,3,1
deepseek/deepseek-chat-v3-0324,134,4,1
deepseek/deepseek-chat-v3-0324,137,2,1
deepseek/deepseek-chat-v3-0324,142,2,1
deepseek/deepseek-chat-v3-0324,151,2,1
deepseek/deepseek-chat-v3-0324,153,1,1
deepseek/deepseek-chat-v3-0324,155,2,1
deepseek/deepseek-chat-v3-0324,163,2,1
deepseek/deepseek-chat-v3-0324,164,3,1
deepseek/deepseek-chat-v3-0324,169,3,1
deepseek/deepseek-chat-v3-0324,171,2,1
deepseek/deepseek-chat-v3-0324,182,2,1
deepseek/deepseek-chat-v3-0324,186,3,1
deepseek/deepseek-chat-v3-0324,195,1,1
deepseek/deepseek-chat-v3-0324,203,2,1
deepseek/deepseek-chat-v3-0324,208,3,1
deepseek/deepseek-chat-v3-0324,224,2,1
anthropic/claude-3.5-sonnet,21,2,7
anthropic/claude-3.5-sonnet,24,3,4
anthropic/claude-3.5-sonnet,40,3,7
anthropic/claude-3.5-sonnet,42,4,4
anthropic/claude-3.5-sonnet,44,3,4
anthropic/claude-3.5-sonnet,46,4,7
anthropic/claude-3.5-sonnet,48,2,4
anthropic/claude-3.5-sonnet,53,2,4
anthropic/claude-3.5-sonnet,54,4,4
anthropic/claude-3.5-sonnet,55,1,5
anthropic/claude-3.5-sonnet,59,4,7
anthropic/claude-3.5-sonnet,60,1,4
anthropic/claude-3.5-sonnet,79,1,10
anthropic/claude-3.5-sonnet,85,,45
anthropic/claude-3.5-sonnet,86,2,4
anthropic/claude-3.5-sonnet,91,1,10
anthropic/claude-3.5-sonnet,95,4,4
anthropic/claude-3.5-sonnet,97,2,7
anthropic/claude-3.5-sonnet,102,3,4
anthropic/claude-3.5-sonnet,105,2,7
anthropic/claude-3.5-sonnet,108,4,4
anthropic/claude-3.5-sonnet,110,3,7
anthropic/claude-3.5-sonnet,113,2,4
anthropic/claude-3.5-sonnet,134,4,4
anthropic/claude-3.5-sonnet,137,4,7
anthropic/claude-3.5-sonnet,142,2,7
anthropic/claude-3.5-sonnet,151,3,7
anthropic/claude-3.5-sonnet,153,1,10
anthropic/claude-3.5-sonnet,155,4,7
anthropic/claude-3.5-sonnet,163,3,7
anthropic/claude-3.5-sonnet,164,3,4
anthropic/claude-3.5-sonnet,169,4,7
anthropic/claude-3.5-sonnet,171,2,4
anthropic/claude-3.5-sonnet,182,1,4
anthropic/claude-3.5-sonnet,186,4,7
anthropic/claude-3.5-sonnet,195,1,5
anthropic/claude-3.5-sonnet,203,2,7
anthropic/claude-3.5-sonnet,208,4,7
anthropic/claude-3.5-sonnet,224,4,4
deepseek/deepseek-r1,21,2,522
deepseek/deepseek-r1,24,2,622
deepseek/deepseek-r1,40,2,256
deepseek/deepseek-r1,42,2,515
deepseek/deepseek-r1,44,3,494
deepseek/deepseek-r1,46,3,454
deepseek/deepseek-r1,48,2,473
deepseek/deepseek-r1,53,2,579
deepseek/deepseek-r1,54,2,298
deepseek/deepseek-r1,55,4,656
deepseek/deepseek-r1,59,4,614
deepseek/deepseek-r1,60,2,447
deepseek/deepseek-r1,79,2,844
deepseek/deepseek-r1,85,1,515
deepseek/deepseek-r1,86,2,545
deepseek/deepseek-r1,91,2,441
deepseek/deepseek-r1,95,4,571
deepseek/deepseek-r1,97,2,705
deepseek/deepseek-r1,102,3,608
deepseek/deepseek-r1,105,2,523
deepseek/deepseek-r1,108,3,317
deepseek/deepseek-r1,110,3,326
deepseek/deepseek-r1,113,3,551
deepseek/deepseek-r1,134,4,618
deepseek/deepseek-r1,137,2,512
deepseek/deepseek-r1,142,2,658
deepseek/deepseek-r1,151,2,1381
deepseek/deepseek-r1,153,1,351
deepseek/deepseek-r1,155,2,295
deepseek/deepseek-r1,163,2,564
deepseek/deepseek-r1,164,2,532
deepseek/deepseek-r1,169,4,363
deepseek/deepseek-r1,171,2,465
deepseek/deepseek-r1,182,1,558
deepseek/deepseek-r1,186,3,491
deepseek/deepseek-r1,195,1,683
deepseek/deepseek-r1,203,2,468
deepseek/deepseek-r1,208,1,413
deepseek/deepseek-r1,224,4,801
google/gemma-3-27b-it,21,3,2
google/gemma-3-27b-it,24,2,2
google/gemma-3-27b-it,40,2,2
google/gemma-3-27b-it,42,2,2
google/gemma-3-27b-it,44,3,1
google/gemma-3-27b-it,46,3,1
google/gemma-3-27b-it,48,2,3
google/gemma-3-27b-it,53,2,2
google/gemma-3-27b-it,54,4,3
google/gemma-3-27b-it,55,2,2
google/gemma-3-27b-it,59,4,1
google/gemma-3-27b-it,60,2,1
google/gemma-3-27b-it,79,2,1
google/gemma-3-27b-it,85,1,4
google/gemma-3-27b-it,86,2,3
google/gemma-3-27b-it,91,2,2
google/gemma-3-27b-it,95,3,3
google/gemma-3-27b-it,97,2,3
google/gemma-3-27b-it,102,1,3
google/gemma-3-27b-it,105,3,2
google/gemma-3-27b-it,108,3,2
google/gemma-3-27b-it,110,3,3
google/gemma-3-27b-it,113,3,2
google/gemma-3-27b-it,134,3,3
google/gemma-3-27b-it,137,3,3
google/gemma-3-27b-it,142,2,3
google/gemma-3-27b-it,151,3,2
google/gemma-3-27b-it,153,1,3
google/gemma-3-27b-it,155,2,3
google/gemma-3-27b-it,163,2,2
google/gemma-3-27b-it,164,3,2
google/gemma-3-27b-it,169,4,1
google/gemma-3-27b-it,171,1,1
google/gemma-3-27b-it,182,2,2
google/gemma-3-27b-it,186,3,1
google/gemma-3-27b-it,195,1,2
google/gemma-3-27b-it,203,2,2
google/gemma-3-27b-it,208,4,3
google/gemma-3-27b-it,224,4,3
google/gemma-3-12b-it,21,3,3
google/gemma-3-12b-it,24,2,3
google/gemma-3-12b-it,40,1,3
google/gemma-3-12b-it,42,1,3
google/gemma-3-12b-it,44,1,3
google/gemma-3-12b-it,46,3,3
google/gemma-3-12b-it,48,2,3
google/gemma-3-12b-it,53,4,3
google/gemma-3-12b-it,54,4,3
google/gemma-3-12b-it,55,2,3
google/gemma-3-12b-it,59,4,3
google/gemma-3-12b-it,60,2,3
google/gemma-3-12b-it,79,2,3
google/gemma-3-12b-it,85,1,3
google/gemma-3-12b-it,86,1,3
google/gemma-3-12b-it,91,3,3
google/gemma-3-12b-it,95,2,3
google/gemma-3-12b-it,97,2,3
google/gemma-3-12b-it,102,1,3
google/gemma-3-12b-it,105,1,3
google/gemma-3-12b-it,108,4,3
google/gemma-3-12b-it,110,3,3
google/gemma-3-12b-it,113,1,3
google/gemma-3-12b-it,134,4,3
google/gemma-3-12b-it,137,1,3
google/gemma-3-12b-it,142,2,3
google/gemma-3-12b-it,151,2,3
google/gemma-3-12b-it,153,1,3
google/gemma-3-12b-it,155,2,3
google/gemma-3-12b-it,163,2,3
google/gemma-3-12b-it,164,4,3
google/gemma-3-12b-it,169,4,3
google/gemma-3-12b-it,171,2,3
google/gemma-3-12b-it,182,1,3
google/gemma-3-12b-it,186,3,3
google/gemma-3-12b-it,195,1,3
google/gemma-3-12b-it,203,2,3
google/gemma-3-12b-it,208,4,3
google/gemma-3-12b-it,224,1,3
qwen/qwen-2.5-72b-instruct,21,3,1
qwen/qwen-2.5-72b-instruct,24,2,1
qwen/qwen-2.5-72b-instruct,40,2,2
qwen/qwen-2.5-72b-instruct,42,1,1
qwen/qwen-2.5-72b-instruct,44,3,1
qwen/qwen-2.5-72b-instruct,46,1,1
qwen/qwen-2.5-72b-instruct,48,4,2
qwen/qwen-2.5-72b-instruct,53,2,1
qwen/qwen-2.5-72b-instruct,54,3,1
qwen/qwen-2.5-72b-instruct,55,3,2
qwen/qwen-2.5-72b-instruct,59,3,1
qwen/qwen-2.5-72b-instruct,60,2,2
qwen/qwen-2.5-72b-instruct,79,2,1
qwen/qwen-2.5-72b-instruct,85,1,2
qwen/qwen-2.5-72b-instruct,86,1,1
qwen/qwen-2.5-72b-instruct,91,1,1
qwen/qwen-2.5-72b-instruct,95,1,2
qwen/qwen-2.5-72b-instruct,97,4,1
qwen/qwen-2.5-72b-instruct,102,3,2
qwen/qwen-2.5-72b-instruct,105,2,1
qwen/qwen-2.5-72b-instruct,108,4,1
qwen/qwen-2.5-72b-instruct,110,3,2
qwen/qwen-2.5-72b-instruct,113,1,2
qwen/qwen-2.5-72b-instruct,134,4,1
qwen/qwen-2.5-72b-instruct,137,2,1
qwen/qwen-2.5-72b-instruct,142,4,1
qwen/qwen-2.5-72b-instruct,151,4,1
qwen/qwen-2.5-72b-instruct,153,1,2
qwen/qwen-2.5-72b-instruct,155,2,1
qwen/qwen-2.5-72b-instruct,163,2,2
qwen/qwen-2.5-72b-instruct,164,3,1
qwen/qwen-2.5-72b-instruct,169,3,2
qwen/qwen-2.5-72b-instruct,171,1,1
qwen/qwen-2.5-72b-instruct,182,3,2
qwen/qwen-2.5-72b-instruct,186,3,1
qwen/qwen-2.5-72b-instruct,195,1,1
qwen/qwen-2.5-72b-instruct,203,2,2
qwen/qwen-2.5-72b-instruct,208,4,1
qwen/qwen-2.5-72b-instruct,224,4,2
