Embedding Model,Explanation Model,Accuracy (%),Correct,Total
google/gemini-embedding-001,z-ai/glm-4.6,58.333333333333336,7,12
openai/text-embedding-ada-002,anthropic/claude-haiku-4.5,41.66666666666667,5,12
openai/text-embedding-ada-002,deepseek/deepseek-chat-v3.1,41.66666666666667,5,12
openai/text-embedding-ada-002,deepseek/deepseek-r1-0528,33.33333333333333,4,12
openai/text-embedding-ada-002,google/gemini-2.5-flash,33.33333333333333,4,12
openai/text-embedding-ada-002,google/gemini-2.5-pro,16.666666666666664,2,12
openai/text-embedding-ada-002,minimax/minimax-m2,30.0,3,10
openai/text-embedding-ada-002,moonshotai/kimi-k2-thinking,10.0,1,10
openai/text-embedding-ada-002,moonshotai/kimi-linear-48b-a3b-instruct,25.0,3,12
openai/text-embedding-ada-002,openai/gpt-5,8.333333333333332,1,12
openai/text-embedding-ada-002,openai/gpt-oss-120b,0.0,0,12
openai/text-embedding-ada-002,qwen/qwen3-235b-a22b-thinking-2507,0.0,0,0
openai/text-embedding-ada-002,x-ai/grok-4,41.66666666666667,5,12
openai/text-embedding-ada-002,z-ai/glm-4.6,25.0,3,12
mistralai/codestral-embed-2505,anthropic/claude-haiku-4.5,25.0,3,12
mistralai/codestral-embed-2505,deepseek/deepseek-chat-v3.1,58.333333333333336,7,12
mistralai/codestral-embed-2505,deepseek/deepseek-r1-0528,41.66666666666667,5,12
mistralai/codestral-embed-2505,google/gemini-2.5-flash,33.33333333333333,4,12
mistralai/codestral-embed-2505,google/gemini-2.5-pro,50.0,6,12
mistralai/codestral-embed-2505,minimax/minimax-m2,30.0,3,10
mistralai/codestral-embed-2505,moonshotai/kimi-k2-thinking,50.0,5,10
mistralai/codestral-embed-2505,moonshotai/kimi-linear-48b-a3b-instruct,50.0,6,12
mistralai/codestral-embed-2505,openai/gpt-5,58.333333333333336,7,12
mistralai/codestral-embed-2505,openai/gpt-oss-120b,16.666666666666664,2,12
mistralai/codestral-embed-2505,qwen/qwen3-235b-a22b-thinking-2507,0.0,0,0
mistralai/codestral-embed-2505,x-ai/grok-4,58.333333333333336,7,12
mistralai/codestral-embed-2505,z-ai/glm-4.6,41.66666666666667,5,12
openai/text-embedding-3-large,anthropic/claude-haiku-4.5,50.0,6,12
openai/text-embedding-3-large,deepseek/deepseek-chat-v3.1,41.66666666666667,5,12
openai/text-embedding-3-large,deepseek/deepseek-r1-0528,33.33333333333333,4,12
openai/text-embedding-3-large,google/gemini-2.5-flash,33.33333333333333,4,12
openai/text-embedding-3-large,google/gemini-2.5-pro,41.66666666666667,5,12
openai/text-embedding-3-large,minimax/minimax-m2,30.0,3,10
openai/text-embedding-3-large,moonshotai/kimi-k2-thinking,20.0,2,10
openai/text-embedding-3-large,moonshotai/kimi-linear-48b-a3b-instruct,16.666666666666664,2,12
openai/text-embedding-3-large,openai/gpt-5,58.333333333333336,7,12
openai/text-embedding-3-large,openai/gpt-oss-120b,16.666666666666664,2,12
openai/text-embedding-3-large,qwen/qwen3-235b-a22b-thinking-2507,0.0,0,0
openai/text-embedding-3-large,x-ai/grok-4,33.33333333333333,4,12
openai/text-embedding-3-large,z-ai/glm-4.6,58.333333333333336,7,12
openai/text-embedding-3-small,anthropic/claude-haiku-4.5,41.66666666666667,5,12
openai/text-embedding-3-small,deepseek/deepseek-chat-v3.1,25.0,3,12
openai/text-embedding-3-small,deepseek/deepseek-r1-0528,41.66666666666667,5,12
openai/text-embedding-3-small,google/gemini-2.5-flash,25.0,3,12
openai/text-embedding-3-small,google/gemini-2.5-pro,41.66666666666667,5,12
openai/text-embedding-3-small,minimax/minimax-m2,20.0,2,10
openai/text-embedding-3-small,moonshotai/kimi-k2-thinking,50.0,5,10
openai/text-embedding-3-small,moonshotai/kimi-linear-48b-a3b-instruct,8.333333333333332,1,12
openai/text-embedding-3-small,openai/gpt-5,33.33333333333333,4,12
openai/text-embedding-3-small,openai/gpt-oss-120b,0.0,0,12
openai/text-embedding-3-small,qwen/qwen3-235b-a22b-thinking-2507,0.0,0,0
openai/text-embedding-3-small,x-ai/grok-4,25.0,3,12
openai/text-embedding-3-small,z-ai/glm-4.6,50.0,6,12
qwen/qwen3-embedding-8b,anthropic/claude-haiku-4.5,41.66666666666667,5,12
qwen/qwen3-embedding-8b,deepseek/deepseek-chat-v3.1,66.66666666666666,8,12
qwen/qwen3-embedding-8b,deepseek/deepseek-r1-0528,50.0,6,12
qwen/qwen3-embedding-8b,google/gemini-2.5-flash,50.0,6,12
qwen/qwen3-embedding-8b,google/gemini-2.5-pro,50.0,6,12
qwen/qwen3-embedding-8b,minimax/minimax-m2,30.0,3,10
qwen/qwen3-embedding-8b,moonshotai/kimi-k2-thinking,60.0,6,10
qwen/qwen3-embedding-8b,moonshotai/kimi-linear-48b-a3b-instruct,25.0,3,12
qwen/qwen3-embedding-8b,openai/gpt-5,58.333333333333336,7,12
qwen/qwen3-embedding-8b,openai/gpt-oss-120b,33.33333333333333,4,12
qwen/qwen3-embedding-8b,qwen/qwen3-235b-a22b-thinking-2507,0.0,0,0
qwen/qwen3-embedding-8b,x-ai/grok-4,58.333333333333336,7,12
qwen/qwen3-embedding-8b,z-ai/glm-4.6,50.0,6,12
qwen/qwen3-embedding-4b,anthropic/claude-haiku-4.5,50.0,6,12
qwen/qwen3-embedding-4b,deepseek/deepseek-chat-v3.1,58.333333333333336,7,12
qwen/qwen3-embedding-4b,deepseek/deepseek-r1-0528,66.66666666666666,8,12
qwen/qwen3-embedding-4b,google/gemini-2.5-flash,33.33333333333333,4,12
qwen/qwen3-embedding-4b,google/gemini-2.5-pro,58.333333333333336,7,12
qwen/qwen3-embedding-4b,minimax/minimax-m2,20.0,2,10
qwen/qwen3-embedding-4b,moonshotai/kimi-k2-thinking,70.0,7,10
qwen/qwen3-embedding-4b,moonshotai/kimi-linear-48b-a3b-instruct,16.666666666666664,2,12
qwen/qwen3-embedding-4b,openai/gpt-5,50.0,6,12
qwen/qwen3-embedding-4b,openai/gpt-oss-120b,25.0,3,12
qwen/qwen3-embedding-4b,qwen/qwen3-235b-a22b-thinking-2507,0.0,0,0
qwen/qwen3-embedding-4b,x-ai/grok-4,58.333333333333336,7,12
qwen/qwen3-embedding-4b,z-ai/glm-4.6,41.66666666666667,5,12
