question_id,correct_count,total_models,success_rate,std_dev,most_common_answer,correct_answer,success_rate_pct,difficulty_score,difficulty_category,themes,primary_theme
65,4,29,0.1379,0.3509,4.0,3,13.79,86.21000000000001,Very Hard,عشق و محبت,عشق و محبت
271,4,29,0.1379,0.3509,2.0,3,13.79,86.21000000000001,Very Hard,سایر,سایر
381,3,21,0.1429,0.3586,2.0,3,14.29,85.71000000000001,Very Hard,سایر,سایر
385,3,21,0.1429,0.3586,1.0,2,14.29,85.71000000000001,Very Hard,سایر,سایر
426,3,21,0.1429,0.3586,4.0,1,14.29,85.71000000000001,Very Hard,"طبیعت, مرگ و فنا, عشق و محبت",طبیعت
297,3,21,0.1429,0.3586,2.0,1,14.29,85.71000000000001,Very Hard,"دنیا و زندگی, مرگ و فنا",دنیا و زندگی
350,3,21,0.1429,0.3586,4.0,2,14.29,85.71000000000001,Very Hard,سایر,سایر
457,3,21,0.1429,0.3586,4.0,3,14.29,85.71000000000001,Very Hard,طبیعت,طبیعت
320,3,21,0.1429,0.3586,3.0,2,14.29,85.71000000000001,Very Hard,خدا و معنویت,خدا و معنویت
302,3,21,0.1429,0.3586,2.0,1,14.29,85.71000000000001,Very Hard,"حکمت و دانایی, عشق و محبت",حکمت و دانایی
256,5,29,0.1724,0.3844,4.0,3,17.24,82.76,Very Hard,دنیا و زندگی,دنیا و زندگی
371,4,21,0.1905,0.4024,1.0,2,19.05,80.95,Very Hard,"طبیعت, دنیا و زندگی, عشق و محبت",طبیعت
452,4,21,0.1905,0.4024,2.0,4,19.05,80.95,Very Hard,"دنیا و زندگی, عشق و محبت",دنیا و زندگی
493,4,21,0.1905,0.4024,4.0,2,19.05,80.95,Very Hard,سایر,سایر
226,6,29,0.2069,0.4123,1.0,3,20.69,79.31,Very Hard,"طبیعت, مرگ و فنا, عشق و محبت",طبیعت
113,6,29,0.2069,0.4123,2.0,3,20.69,79.31,Very Hard,"دنیا و زندگی, عشق و محبت",دنیا و زندگی
233,6,29,0.2069,0.4123,3.0,4,20.69,79.31,Very Hard,"طبیعت, عشق و محبت",طبیعت
46,6,29,0.2069,0.4123,3.0,1,20.69,79.31,Very Hard,مرگ و فنا,مرگ و فنا
282,6,29,0.2069,0.4123,1.0,2,20.69,79.31,Very Hard,"خدا و معنویت, عشق و محبت, دنیا و زندگی, طبیعت, قدرت و سلطنت",خدا و معنویت
280,6,29,0.2069,0.4123,1.0,3,20.69,79.31,Very Hard,"خدا و معنویت, عشق و محبت",خدا و معنویت
242,6,29,0.2069,0.4123,3.0,2,20.69,79.31,Very Hard,"طبیعت, خدا و معنویت, عشق و محبت",طبیعت
379,5,21,0.2381,0.4364,2.0,1,23.81,76.19,Very Hard,عشق و محبت,عشق و محبت
348,5,21,0.2381,0.4364,3.0,2,23.81,76.19,Very Hard,عشق و محبت,عشق و محبت
329,5,21,0.2381,0.4364,2.0,1,23.81,76.19,Very Hard,"طبیعت, مرگ و فنا, عشق و محبت",طبیعت
338,5,21,0.2381,0.4364,4.0,1,23.81,76.19,Very Hard,"طبیعت, عشق و محبت",طبیعت
501,5,21,0.2381,0.4364,3.0,4,23.81,76.19,Very Hard,قدرت و سلطنت,قدرت و سلطنت
490,5,21,0.2381,0.4364,3.0,4,23.81,76.19,Very Hard,مرگ و فنا,مرگ و فنا
397,5,21,0.2381,0.4364,4.0,3,23.81,76.19,Very Hard,عشق و محبت,عشق و محبت
418,5,21,0.2381,0.4364,3.0,4,23.81,76.19,Very Hard,عشق و محبت,عشق و محبت
424,5,21,0.2381,0.4364,3.0,2,23.81,76.19,Very Hard,"طبیعت, عشق و محبت",طبیعت
102,7,29,0.2414,0.4355,3.0,1,24.14,75.86,Very Hard,"طبیعت, خدا و معنویت",طبیعت
151,7,29,0.2414,0.4355,3.0,1,24.14,75.86,Very Hard,"مرگ و فنا, عشق و محبت",مرگ و فنا
272,7,29,0.2414,0.4355,1.0,4,24.14,75.86,Very Hard,"حکمت و دانایی, عشق و محبت",حکمت و دانایی
164,8,29,0.2759,0.4549,2.0,1,27.59,72.41,Very Hard,سایر,سایر
36,8,29,0.2759,0.4549,4.0,3,27.59,72.41,Very Hard,"طبیعت, خدا و معنویت, عشق و محبت",طبیعت
473,6,21,0.2857,0.4629,2.0,4,28.57,71.43,Very Hard,عشق و محبت,عشق و محبت
476,6,21,0.2857,0.4629,2.0,3,28.57,71.43,Very Hard,طبیعت,طبیعت
441,6,21,0.2857,0.4629,2.0,3,28.57,71.43,Very Hard,"خدا و معنویت, مرگ و فنا",خدا و معنویت
439,6,21,0.2857,0.4629,1.0,2,28.57,71.43,Very Hard,"حکمت و دانایی, دنیا و زندگی, عشق و محبت",حکمت و دانایی
336,6,21,0.2857,0.4629,4.0,3,28.57,71.43,Very Hard,عشق و محبت,عشق و محبت
494,6,21,0.2857,0.4629,3.0,4,28.57,71.43,Very Hard,دنیا و زندگی,دنیا و زندگی
231,9,29,0.3103,0.4708,3.0,2,31.03,68.97,Hard,"طبیعت, دنیا و زندگی, عشق و محبت",طبیعت
278,9,29,0.3103,0.4708,2.0,1,31.03,68.97,Hard,"طبیعت, عشق و محبت",طبیعت
207,9,29,0.3103,0.4708,4.0,3,31.03,68.97,Hard,"طبیعت, خدا و معنویت, عشق و محبت",طبیعت
311,7,21,0.3333,0.483,4.0,3,33.33,66.67,Hard,سایر,سایر
346,7,21,0.3333,0.483,1.0,1,33.33,66.67,Hard,"خدا و معنویت, عشق و محبت",خدا و معنویت
454,7,21,0.3333,0.483,2.0,4,33.33,66.67,Hard,سایر,سایر
86,10,29,0.3448,0.4837,2.0,4,34.48,65.52000000000001,Hard,عشق و محبت,عشق و محبت
21,10,29,0.3448,0.4837,4.0,2,34.48,65.52000000000001,Hard,"دنیا و زندگی, عشق و محبت",دنیا و زندگی
63,10,29,0.3448,0.4837,1.0,2,34.48,65.52000000000001,Hard,عشق و محبت,عشق و محبت
266,10,29,0.3448,0.4837,2.0,1,34.48,65.52000000000001,Hard,عشق و محبت,عشق و محبت
205,10,29,0.3448,0.4837,4.0,2,34.48,65.52000000000001,Hard,"طبیعت, خدا و معنویت",طبیعت
221,11,29,0.3793,0.4938,2.0,2,37.93,62.07,Hard,"دنیا و زندگی, قدرت و سلطنت",دنیا و زندگی
137,11,29,0.3793,0.4938,4.0,4,37.93,62.07,Hard,عشق و محبت,عشق و محبت
227,11,29,0.3793,0.4938,2.0,2,37.93,62.07,Hard,سایر,سایر
249,11,29,0.3793,0.4938,2.0,2,37.93,62.07,Hard,"قدرت و سلطنت, خدا و معنویت",قدرت و سلطنت
253,11,29,0.3793,0.4938,2.0,2,37.93,62.07,Hard,"طبیعت, دنیا و زندگی, عشق و محبت",طبیعت
325,8,21,0.381,0.4976,4.0,1,38.1,61.9,Hard,"طبیعت, دنیا و زندگی, عشق و محبت",طبیعت
428,8,21,0.381,0.4976,2.0,3,38.1,61.9,Hard,"طبیعت, خدا و معنویت",طبیعت
460,8,21,0.381,0.4976,4.0,4,38.1,61.9,Hard,دنیا و زندگی,دنیا و زندگی
412,8,21,0.381,0.4976,4.0,4,38.1,61.9,Hard,"طبیعت, دنیا و زندگی",طبیعت
324,8,21,0.381,0.4976,2.0,4,38.1,61.9,Hard,"قدرت و سلطنت, خدا و معنویت, مرگ و فنا, عشق و محبت",قدرت و سلطنت
387,9,21,0.4286,0.5071,4.0,4,42.86,57.14,Hard,طبیعت,طبیعت
432,9,21,0.4286,0.5071,2.0,2,42.86,57.14,Hard,"خدا و معنویت, مرگ و فنا, عشق و محبت",خدا و معنویت
368,9,21,0.4286,0.5071,4.0,4,42.86,57.14,Hard,خدا و معنویت,خدا و معنویت
204,13,29,0.4483,0.5061,4.0,3,44.83,55.17,Hard,عشق و محبت,عشق و محبت
146,13,29,0.4483,0.5061,1.0,1,44.83,55.17,Hard,دنیا و زندگی,دنیا و زندگی
93,13,29,0.4483,0.5061,2.0,2,44.83,55.17,Hard,"خدا و معنویت, عشق و محبت",خدا و معنویت
172,13,29,0.4483,0.5061,2.0,3,44.83,55.17,Hard,"مرگ و فنا, عشق و محبت",مرگ و فنا
264,13,29,0.4483,0.5061,3.0,1,44.83,55.17,Hard,سایر,سایر
225,13,29,0.4483,0.5061,2.0,2,44.83,55.17,Hard,سایر,سایر
308,10,21,0.4762,0.5118,4.0,4,47.62,52.38,Hard,سایر,سایر
318,10,21,0.4762,0.5118,3.0,3,47.62,52.38,Hard,"دنیا و زندگی, عشق و محبت",دنیا و زندگی
359,10,21,0.4762,0.5118,3.0,3,47.62,52.38,Hard,"طبیعت, خدا و معنویت, عشق و محبت",طبیعت
467,10,21,0.4762,0.5118,4.0,4,47.62,52.38,Hard,سایر,سایر
345,10,21,0.4762,0.5118,3.0,3,47.62,52.38,Hard,"طبیعت, دنیا و زندگی, عشق و محبت",طبیعت
451,10,21,0.4762,0.5118,3.0,3,47.62,52.38,Hard,"طبیعت, دنیا و زندگی, عشق و محبت",طبیعت
448,10,21,0.4762,0.5118,1.0,1,47.62,52.38,Hard,"طبیعت, خدا و معنویت, مرگ و فنا, عشق و محبت",طبیعت
443,10,21,0.4762,0.5118,1.0,4,47.62,52.38,Hard,"قدرت و سلطنت, عشق و محبت",قدرت و سلطنت
79,14,29,0.4828,0.5085,1.0,1,48.28,51.72,Hard,"طبیعت, مرگ و فنا",طبیعت
155,15,29,0.5172,0.5085,4.0,4,51.72,48.28,Medium,"طبیعت, مرگ و فنا",طبیعت
250,15,29,0.5172,0.5085,1.0,1,51.72,48.28,Medium,خدا و معنویت,خدا و معنویت
310,11,21,0.5238,0.5118,4.0,4,52.38,47.62,Medium,عشق و محبت,عشق و محبت
364,11,21,0.5238,0.5118,2.0,2,52.38,47.62,Medium,طبیعت,طبیعت
306,11,21,0.5238,0.5118,4.0,4,52.38,47.62,Medium,"طبیعت, دنیا و زندگی, خدا و معنویت",طبیعت
335,11,21,0.5238,0.5118,4.0,4,52.38,47.62,Medium,"طبیعت, دنیا و زندگی, عشق و محبت",طبیعت
97,16,29,0.5517,0.5061,2.0,2,55.17,44.83,Medium,"خدا و معنویت, عشق و محبت",خدا و معنویت
142,16,29,0.5517,0.5061,2.0,2,55.17,44.83,Medium,دنیا و زندگی,دنیا و زندگی
206,16,29,0.5517,0.5061,4.0,4,55.17,44.83,Medium,"طبیعت, خدا و معنویت, مرگ و فنا, عشق و محبت",طبیعت
376,12,21,0.5714,0.5071,4.0,4,57.14,42.86,Medium,عشق و محبت,عشق و محبت
6,34,58,0.5862,0.4968,1.0,1,58.62,41.38,Medium,"دنیا و زندگی, عشق و محبت",دنیا و زندگی
191,17,29,0.5862,0.5012,4.0,4,58.62,41.38,Medium,"طبیعت, عشق و محبت",طبیعت
228,17,29,0.5862,0.5012,2.0,2,58.62,41.38,Medium,"دنیا و زندگی, خدا و معنویت, عشق و محبت",دنیا و زندگی
67,17,29,0.5862,0.5012,4.0,4,58.62,41.38,Medium,"طبیعت, دنیا و زندگی, عشق و محبت",طبیعت
255,17,29,0.5862,0.5012,1.0,1,58.62,41.38,Medium,سایر,سایر
211,17,29,0.5862,0.5012,1.0,1,58.62,41.38,Medium,"طبیعت, دنیا و زندگی, خدا و معنویت",طبیعت
416,13,21,0.619,0.4976,1.0,1,61.9,38.1,Medium,دنیا و زندگی,دنیا و زندگی
174,18,29,0.6207,0.4938,2.0,2,62.07,37.93,Medium,"طبیعت, عشق و محبت",طبیعت
125,18,29,0.6207,0.4938,3.0,3,62.07,37.93,Medium,دنیا و زندگی,دنیا و زندگی
213,18,29,0.6207,0.4938,4.0,4,62.07,37.93,Medium,"طبیعت, خدا و معنویت",طبیعت
284,18,29,0.6207,0.4938,2.0,2,62.07,37.93,Medium,طبیعت,طبیعت
69,18,29,0.6207,0.4938,3.0,3,62.07,37.93,Medium,عشق و محبت,عشق و محبت
246,19,29,0.6552,0.4837,3.0,3,65.52,34.480000000000004,Medium,"خدا و معنویت, مرگ و فنا, عشق و محبت, دنیا و زندگی, طبیعت",خدا و معنویت
186,19,29,0.6552,0.4837,4.0,4,65.52,34.480000000000004,Medium,"حکمت و دانایی, دنیا و زندگی, عشق و محبت",حکمت و دانایی
59,19,29,0.6552,0.4837,4.0,4,65.52,34.480000000000004,Medium,"طبیعت, خدا و معنویت, عشق و محبت",طبیعت
410,14,21,0.6667,0.483,3.0,3,66.67,33.33,Medium,"طبیعت, دنیا و زندگی, مرگ و فنا",طبیعت
475,14,21,0.6667,0.483,3.0,3,66.67,33.33,Medium,"مرگ و فنا, عشق و محبت",مرگ و فنا
295,14,21,0.6667,0.483,3.0,3,66.67,33.33,Medium,عشق و محبت,عشق و محبت
298,14,21,0.6667,0.483,2.0,2,66.67,33.33,Medium,"طبیعت, دنیا و زندگی",طبیعت
243,20,29,0.6897,0.4708,1.0,1,68.97,31.03,Medium,طبیعت,طبیعت
203,20,29,0.6897,0.4708,2.0,2,68.97,31.03,Medium,"قدرت و سلطنت, عشق و محبت",قدرت و سلطنت
163,20,29,0.6897,0.4708,2.0,2,68.97,31.03,Medium,طبیعت,طبیعت
108,20,29,0.6897,0.4708,4.0,4,68.97,31.03,Medium,"طبیعت, دنیا و زندگی, مرگ و فنا, عشق و محبت",طبیعت
105,20,29,0.6897,0.4708,2.0,2,68.97,31.03,Medium,"حکمت و دانایی, دنیا و زندگی, عشق و محبت",حکمت و دانایی
261,20,29,0.6897,0.4708,3.0,3,68.97,31.03,Medium,"دنیا و زندگی, مرگ و فنا",دنیا و زندگی
485,15,21,0.7143,0.4629,4.0,4,71.43,28.569999999999993,Easy,قدرت و سلطنت,قدرت و سلطنت
339,15,21,0.7143,0.4629,2.0,2,71.43,28.569999999999993,Easy,عشق و محبت,عشق و محبت
291,15,21,0.7143,0.4629,3.0,3,71.43,28.569999999999993,Easy,"حکمت و دانایی, قدرت و سلطنت, مرگ و فنا, عشق و محبت",حکمت و دانایی
292,15,21,0.7143,0.4629,4.0,4,71.43,28.569999999999993,Easy,"طبیعت, دنیا و زندگی, عشق و محبت",طبیعت
110,21,29,0.7241,0.4549,3.0,3,72.41,27.590000000000003,Easy,سایر,سایر
24,21,29,0.7241,0.4549,3.0,3,72.41,27.590000000000003,Easy,"دنیا و زندگی, عشق و محبت",دنیا و زندگی
94,21,29,0.7241,0.4549,2.0,2,72.41,27.590000000000003,Easy,"طبیعت, دنیا و زندگی, عشق و محبت",طبیعت
251,21,29,0.7241,0.4549,2.0,2,72.41,27.590000000000003,Easy,خدا و معنویت,خدا و معنویت
281,22,29,0.7586,0.4355,3.0,3,75.86,24.14,Easy,"حکمت و دانایی, عشق و محبت",حکمت و دانایی
14,22,29,0.7586,0.4355,2.0,2,75.86,24.14,Easy,"مرگ و فنا, عشق و محبت",مرگ و فنا
195,22,29,0.7586,0.4355,1.0,1,75.86,24.14,Easy,"طبیعت, قدرت و سلطنت",طبیعت
60,22,29,0.7586,0.4355,1.0,1,75.86,24.14,Easy,سایر,سایر
377,16,21,0.7619,0.4364,4.0,4,76.19,23.810000000000002,Easy,"حکمت و دانایی, طبیعت, عشق و محبت",حکمت و دانایی
299,16,21,0.7619,0.4364,4.0,4,76.19,23.810000000000002,Easy,"خدا و معنویت, عشق و محبت",خدا و معنویت
395,16,21,0.7619,0.4364,4.0,4,76.19,23.810000000000002,Easy,طبیعت,طبیعت
201,23,29,0.7931,0.4123,4.0,4,79.31,20.689999999999998,Easy,"دنیا و زندگی, خدا و معنویت, مرگ و فنا",دنیا و زندگی
469,17,21,0.8095,0.4024,1.0,1,80.95,19.049999999999997,Easy,عشق و محبت,عشق و محبت
363,17,21,0.8095,0.4024,4.0,4,80.95,19.049999999999997,Easy,طبیعت,طبیعت
372,17,21,0.8095,0.4024,3.0,3,80.95,19.049999999999997,Easy,"طبیعت, خدا و معنویت, عشق و محبت",طبیعت
70,24,29,0.8276,0.3844,1.0,1,82.76,17.239999999999995,Easy,عشق و محبت,عشق و محبت
188,24,29,0.8276,0.3844,4.0,4,82.76,17.239999999999995,Easy,سایر,سایر
95,24,29,0.8276,0.3844,4.0,4,82.76,17.239999999999995,Easy,"حکمت و دانایی, خدا و معنویت",حکمت و دانایی
169,24,29,0.8276,0.3844,4.0,4,82.76,17.239999999999995,Easy,"دنیا و زندگی, عشق و محبت",دنیا و زندگی
134,24,29,0.8276,0.3844,4.0,4,82.76,17.239999999999995,Easy,عشق و محبت,عشق و محبت
447,18,21,0.8571,0.3586,4.0,4,85.71,14.290000000000006,Easy,"طبیعت, خدا و معنویت, مرگ و فنا",طبیعت
343,18,21,0.8571,0.3586,2.0,2,85.71,14.290000000000006,Easy,"قدرت و سلطنت, عشق و محبت",قدرت و سلطنت
303,18,21,0.8571,0.3586,4.0,4,85.71,14.290000000000006,Easy,عشق و محبت,عشق و محبت
471,18,21,0.8571,0.3586,1.0,1,85.71,14.290000000000006,Easy,"دنیا و زندگی, مرگ و فنا, عشق و محبت",دنیا و زندگی
383,18,21,0.8571,0.3586,4.0,4,85.71,14.290000000000006,Easy,حکمت و دانایی,حکمت و دانایی
481,18,21,0.8571,0.3586,1.0,1,85.71,14.290000000000006,Easy,سایر,سایر
276,25,29,0.8621,0.3509,1.0,1,86.21,13.790000000000006,Easy,سایر,سایر
183,25,29,0.8621,0.3509,1.0,1,86.21,13.790000000000006,Easy,سایر,سایر
171,25,29,0.8621,0.3509,2.0,2,86.21,13.790000000000006,Easy,"حکمت و دانایی, خدا و معنویت, عشق و محبت",حکمت و دانایی
175,25,29,0.8621,0.3509,4.0,4,86.21,13.790000000000006,Easy,"طبیعت, دنیا و زندگی, مرگ و فنا, عشق و محبت",طبیعت
131,26,29,0.8966,0.3099,2.0,2,89.66,10.340000000000003,Easy,سایر,سایر
153,26,29,0.8966,0.3099,1.0,1,89.66,10.340000000000003,Easy,عشق و محبت,عشق و محبت
488,19,21,0.9048,0.3008,4.0,4,90.48,9.519999999999996,Easy,قدرت و سلطنت,قدرت و سلطنت
423,19,21,0.9048,0.3008,4.0,4,90.48,9.519999999999996,Easy,"طبیعت, دنیا و زندگی",طبیعت
464,19,21,0.9048,0.3008,4.0,4,90.48,9.519999999999996,Easy,"طبیعت, دنیا و زندگی, مرگ و فنا",طبیعت
344,19,21,0.9048,0.3008,1.0,1,90.48,9.519999999999996,Easy,مرگ و فنا,مرگ و فنا
224,27,29,0.931,0.2579,4.0,4,93.1,6.900000000000006,Easy,حکمت و دانایی,حکمت و دانایی
354,20,21,0.9524,0.2182,2.0,2,95.24,4.760000000000005,Easy,حکمت و دانایی,حکمت و دانایی
499,20,21,0.9524,0.2182,4.0,4,95.24,4.760000000000005,Easy,سایر,سایر
12,28,29,0.9655,0.1857,4.0,4,96.55,3.450000000000003,Easy,"حکمت و دانایی, طبیعت",حکمت و دانایی
356,21,21,1.0,0.0,3.0,3,100.0,0.0,Easy,"طبیعت, دنیا و زندگی, عشق و محبت",طبیعت
420,21,21,1.0,0.0,4.0,4,100.0,0.0,Easy,"دنیا و زندگی, قدرت و سلطنت, عشق و محبت",دنیا و زندگی
374,21,21,1.0,0.0,4.0,4,100.0,0.0,Easy,دنیا و زندگی,دنیا و زندگی
237,29,29,1.0,0.0,4.0,4,100.0,0.0,Easy,طبیعت,طبیعت
